Species,Mangroves
Hypophthalmichthys molitrix,0
Oreochromis niloticus,1
Ctenopharyngodon idellus,0
Macrobrachium rosenbergii,1
Hypophthalmichthys nobilis,0
Scylla serrata,1
Penaeus monodon,1
Oreochromis (=Tilapia) spp,1
Siganus spp,1
Mugil cephalus,1
Penaeus stylirostris,1
Ex Pinctada spp,1
Eucheuma spp,1
Perna viridis,1
Anadara spp,1
Thunnus alalunga,0
Sphyraena spp,1
Thunnus obesus,0
Apogonidae,1
Crustacea,1
Makaira indica,0
Upeneus spp,1
Epinephelus spp,1
Makaira nigricans,0
Herklotsichthys quadrimaculat.,1
Bivalvia,1
Hemiramphidae,1
Scomberomorus commerson,0
Brachyura,1
Scleractinia,1
Holothuroidea,1
Tetrapturus audax,0
Perciformes,1
Mollusca,1
Isurus oxyrinchus,0
Lethrinidae,1
Carcharhinus falciformis,0
Lutjanus spp,1
Osteichthyes,1
Spratelloides gracilis,1
Carcharhinus longimanus,0
Octopodidae,1
Thunnus orientalis,0
Caranx spp,1
Chelonia mydas,1
Strongylocentrotus spp,0
Invertebrata,1
Gymnocranius spp,1
Atherinidae,1
Sardinella spp,1
Katsuwonus pelamis,0
Chanos chanos,1
Gerres spp,1
Xiphias gladius,0
Panulirus spp,1
Mugilidae,1
Balistidae,0
Acanthuridae,1
Rhodophyceae,1
Labridae,1
Thunnus albacares,0
Ex Trochus spp,1
Testudinata,0
Leiognathus spp,1
Acanthocybium solandri,0
Rastrelliger kanagurta,0
Chlorophyceae,1
Sphyrnidae,1
Alopias spp,0
