"","Scientific_Name","sum(QUANTITY)"
"1","Ablennes hians",1193
"2","Abramis brama",3995346.662
"3","Acanthistius brasilianus",326230
"4","Acanthobrama terraesanctae",20602
"5","Acanthocybium solandri",134471
"6","Acanthopagrus berda",1775.1
"7","Acanthopagrus bifasciatus",75042
"8","Acanthopagrus latus",13778
"9","Acanthurus sohal",657
"10","Acipenser baerii",2653.1935
"11","Acipenser gueldenstaedtii",17351.674
"12","Acipenser medirostris",65
"13","Acipenser naccarii",305.8
"14","Acipenser nudiventris",29
"15","Acipenser ruthenus",971.236
"16","Acipenser stellatus",9743.564
"17","Acipenser transmontanus",2597
"18","Aethaloperca rogaa",530
"19","Aetobatus narinari",358
"20","Ageneiosus inermis",12581
"21","Agonostomus monticola",318
"22","Agonus cataphractus",2
"23","Albula vulpes",25717
"24","Alburnus alburnus",11317.917
"25","Alectis ciliaris",19
"26","Alepes djedaba",4090
"27","Alepisaurus ferox",23
"28","Alepocephalus bairdii",29552
"29","Alestes baremoze",4959
"30","Allocyttus niger",54315
"31","Allocyttus verrucosus",4280
"32","Allothunnus fallai",2560
"33","Alopias pelagicus",29331
"34","Alopias superciliosus",3455
"35","Alopias vulpinus",6971
"36","Alosa aestivalis",1092
"37","Alosa alosa",1280
"38","Alosa fallax",394
"39","Alosa mediocris",4811
"40","Alosa pseudoharengus",1631822
"41","Alosa sapidissima",158717
"42","Amblygaster sirm",253889
"43","Ameiurus melas",41272
"44","Ameiurus nebulosus",438
"45","Amia calva",1481
"46","Ammodytes personatus",9098571
"47","Ammodytes tobianus",1
"48","Amphichthys cryptocentrus",4377
"49","Anabas testudineus",2183846.917
"50","Anarhichas denticulatus",99209
"51","Anarhichas lupus",1164776
"52","Anarhichas minor",156838
"53","Anchoa hepsetus",28
"54","Anchoa marinii",54
"55","Anchoa nasus",1477093
"56","Anguilla anguilla",1103314.072
"57","Anguilla japonica",7341426.17
"58","Anguilla reinhardtii",135.1
"59","Anguilla rostrata",89676
"60","Anodontostoma chacunda",330915
"61","Anoplopoma fimbria",1670924
"62","Anostomoides laticeps",40559
"63","Antimora rostrata",2210
"64","Aphanopus carbo",305123
"65","Aphanopus intermedius",188
"66","Aphareus rutilans",3096
"67","Aphia minuta",1934
"68","Aplodactylus punctatus",191
"69","Aplodinotus grunniens",34619
"70","Aprion virescens",784
"71","Apsilus dentatus",8
"72","Apsilus fuscus",562
"73","Arapaima gigas",60699.6
"74","Archosargus probatocephalus",52508
"75","Archosargus rhomboidalis",336
"76","Arctoscopus japonicus",1295994
"77","Argentina silus",52630
"78","Argentina sphyraena",36855
"79","Argyrops spinifer",150794
"80","Argyrosomus hololepidotus",258488
"81","Argyrosomus japonicus",356
"82","Argyrosomus regius",345772.202
"83","Argyrozona argyrozona",21100
"84","Arnoglossus laterna",983
"85","Arripis georgianus",66571
"86","Arripis trutta",410189
"87","Astronotus ocellatus",17108
"88","Astyanax fasciatus",15731
"89","Atheresthes evermanni",1041209
"90","Atheresthes stomias",684720
"91","Atherina boyeri",76665.521
"92","Atherina hepsetus",47
"93","Atractoscion aequidens",17644
"94","Atractoscion nobilis",24938
"95","Atractosteus tropicus",485
"96","Atrobucca nibe",230183
"97","Atule mate",17617
"98","Auchenoglanis biscutatus",563
"99","Auchenoglanis occidentalis",67
"100","Austroglossus microlepis",102478
"101","Austroglossus pectoralis",33599
"102","Auxis rochei",81329
"103","Auxis thazard",1353409
"104","Bagre marinus",495
"105","Bagrus bajad",148034
"106","Barbonymus gonionotus",5229519.693495
"107","Barbonymus schwanenfeldii",587547.64
"108","Barbourisia rufa",480
"109","Barbus altianalis",1.2
"110","Barbus barbus",6339.047
"111","Barbus callensis",2667
"112","Barbus cyclolepis",22
"113","Barbus meridionalis",17
"114","Bathybates minor",492
"115","Bathyraja brachyurops",358
"116","Bathyraja eatonii",175
"117","Bathyraja irrasa",170
"118","Bathyraja maccaini",1
"119","Bathyraja macloviana",56
"120","Bathyraja meridionalis",0
"121","Bathyraja murrayi",13
"122","Belone belone",289776
"123","Benthosema pterotum",90855
"124","Beryx decadactylus",38146
"125","Beryx splendens",4194
"126","Bidyanus bidyanus",15505.614
"127","Blicca bjoerkna",43579.2
"128","Bolbometopon muricatum",3116
"129","Boleophthalmus pectinirostris",6306.27
"130","Boops boops",1802210
"131","Boreogadus saida",1916471
"132","Borostomias antarcticus",1
"133","Bothus pantherinus",2069
"134","Boulengerochromis microlepis",473
"135","Brachydeuterus auritus",1383072
"136","Brachyplatystoma filamentosum",18440
"137","Brachyplatystoma rousseauxii",81101
"138","Brama australis",284519
"139","Brama brama",443499
"140","Bregmaceros mcclellandi",188950
"141","Brevoortia aurea",184468
"142","Brevoortia patronus",35556888
"143","Brevoortia pectinata",19665
"144","Brevoortia tyrannus",21340125
"145","Brosme brosme",2257013
"146","Brotula barbata",51621
"147","Brycinus leuciscus",676
"148","Brycinus nurse",399829
"149","Brycon amazonicus",50600
"150","Brycon cephalus",17358.18
"151","Brycon dentex",262
"152","Brycon guatemalensis",1154
"153","Brycon hilarii",11980
"154","Brycon moorei",121
"155","Brycon orbignyanus",174.5
"156","Calamus bajonado",58
"157","Calamus brachysomus",44
"158","Callorhinchus callorynchus",134414
"159","Callorhinchus capensis",20882
"160","Callorhinchus milii",70416
"161","Calophysus macropterus",207
"162","Campogramma glaycos",6581
"163","Canthidermis macrolepis",2830
"164","Caprodon longimanus",105
"165","Capromimus abbreviatus",51
"166","Capros aper",529155
"167","Caquetaia kraussii",209
"168","Carangoides bajad",140030
"169","Carangoides fulvoguttatus",3291
"170","Carangoides malabaricus",6289
"171","Caranx caballus",602
"172","Caranx crysos",134644
"173","Caranx hippos",623679.021
"174","Caranx ignobilis",200077.066
"175","Caranx melampygus",448
"176","Caranx rhonchus",317509
"177","Caranx ruber",2220
"178","Caranx senegallus",614
"179","Caranx sexfasciatus",1773.31
"180","Carassius auratus",467556.904
"181","Carassius carassius",737815.393
"182","Carcharhinus acronotus",510
"183","Carcharhinus brachyurus",811
"184","Carcharhinus brevipinna",257
"185","Carcharhinus dussumieri",2277
"186","Carcharhinus falciformis",258528
"187","Carcharhinus isodon",200
"188","Carcharhinus leucas",799
"189","Carcharhinus limbatus",5099
"190","Carcharhinus longimanus",13412
"191","Carcharhinus obscurus",336
"192","Carcharhinus plumbeus",936
"193","Carcharhinus porosus",851
"194","Carcharhinus signatus",3338
"195","Carcharhinus sorrah",4581
"196","Carcharias taurus",78
"197","Carcharodon carcharias",170
"198","Carpiodes carpio",3896
"199","Cathorops spixii",1852
"200","Catla catla",39010359.5291
"201","Caulolatilus chrysops",1761
"202","Caulolatilus microps",802
"203","Caulolatilus princeps",33647
"204","Centracanthus cirrus",129
"205","Centriscops humerosus",764
"206","Centroberyx affinis",24317
"207","Centrolabrus exoletus",439
"208","Centrolophus niger",700
"209","Centrophorus granulosus",18711
"210","Centrophorus lusitanicus",2995
"211","Centrophorus squamosus",34283
"212","Centropomus ensiferus",99
"213","Centropomus undecimalis",218633
"214","Centropristis philadelphica",60
"215","Centropristis striata",170238
"216","Centroscyllium fabricii",923
"217","Centroscymnus coelolepis",38172
"218","Centroscymnus crepidater",1707
"219","Centroscymnus plunketi",4
"220","Cephalopholis argus",786
"221","Cephalopholis boenak",1569952
"222","Cephalopholis fulva",1356
"223","Cephalopholis hemistiktos",4136
"224","Cephalopholis miniata",5010
"225","Cephaloscyllium isabellum",779
"226","Cepola macrophthalma",2833
"227","Cetengraulis edentulus",84007
"228","Cetengraulis mysticetus",6284421
"229","Cetorhinus maximus",255939
"230","Chaenocephalus aceratus",12631
"231","Chaenodraco wilsoni",24203
"232","Chaetodipterus faber",9.51
"233","Chaetodipterus zonatus",106
"234","Champsocephalus esox",143
"235","Champsocephalus gunnari",1112373
"236","Channa argus",5189497
"237","Channa marulius",7228
"238","Channa micropeltes",739529.604
"239","Channa punctata",7089
"240","Channa striata",3982825.175
"241","Channichthys rhinoceratus",988
"242","Chanos chanos",24802481.80112
"243","Cheilinus undulatus",19190
"244","Cheilodactylus variegatus",15473
"245","Cheimerius nufar",2641
"246","Chelidonichthys capensis",37520
"247","Chelidonichthys kumu",858097
"248","Chelidonichthys lucerna",61300
"249","Chelon labrosus",5886
"250","Chimaera monstrosa",5634
"251","Chimaera phantasma",7
"252","Chionobathyscus dewitti",12
"253","Chionodraco hamatus",7
"254","Chionodraco myersi",0
"255","Chionodraco rastrospinosus",1536
"256","Chirocentrus dorab",419746
"257","Chirocentrus nudus",121857
"258","Chitala chitala",1554.5
"259","Chitala lopis",259095
"260","Chlorophthalmus agassizi",658
"261","Chloroscombrus chrysurus",587238
"262","Chloroscombrus orqueta",90559
"263","Chondrostoma nasus",2188.67
"264","Chromobotia macracanthus",6536
"265","Chrysichthys brachynema",49
"266","Chrysichthys nigrodigitatus",307226
"267","Cichla ocellaris",1050
"268","Cilus gilberti",562782
"269","Cirrhinus microlepis",61848.4
"270","Cirrhinus molitorella",2272375.655
"271","Cirrhinus mrigala",12255986.47975
"272","Citharichthys sordidus",1886
"273","Citharus linguatula",912
"274","Clarias anguillaris",767536
"275","Clarias batrachus",50899.907
"276","Clarias fuscus",3147
"277","Clarias gariepinus",3927751.34
"278","Clepticus parrae",16
"279","Clupanodon thrissa",453859
"280","Clupea harengus",141516034
"281","Clupeonella cultriventris",16775875
"282","Coelorinchus chilensis",913
"283","Cololabis saira",23623835
"284","Colossoma macropomum",1275545.82
"285","Conger conger",874394
"286","Conger myriaster",692499
"287","Conger oceanicus",2226
"288","Conodon nobilis",101178
"289","Copadichromis virginalis",136664
"290","Coregonus albula",452351
"291","Coregonus artedi",176336
"292","Coregonus clupeaformis",777182
"293","Coregonus lavaretus",303133.151
"294","Coregonus oxyrinchus",3131
"295","Coregonus peled",104.96
"296","Coris julis",41
"297","Coryphaena hippurus",2863905
"298","Coryphaenoides rupestris",1123742
"299","Coryphaenoides subserrulatus",0
"300","Cottoperca gobio",231
"301","Crenidens crenidens",1329
"302","Cromileptes altivelis",111261.483
"303","Ctenolabrus rupestris",1483
"304","Cubiceps caeruleus",219
"305","Cubiceps capensis",16
"306","Curimata cyprinoides",75220
"307","Cyclocheilichthys apogon",7316
"308","Cyclopsetta panamensis",139
"309","Cyclopterus lumpus",601947
"310","Cymatoceps nasutus",76
"311","Cynomacrurus piriei",1
"312","Cynoponticus coniceps",602
"313","Cynoscion acoupa",322085
"314","Cynoscion analis",248654
"315","Cynoscion arenarius",18005
"316","Cynoscion guatucupa",629938
"317","Cynoscion jamaicensis",42822
"318","Cynoscion leiarchus",14078
"319","Cynoscion nebulosus",200618
"320","Cynoscion regalis",271564
"321","Cynoscion striatus",420199
"322","Cynoscion virescens",11740
"323","Cyprinus carpio",89358208.52115
"324","Cyttus novaezealandiae",950
"325","Cyttus traversi",8100
"326","Dactylopterus volitans",272
"327","Dalatias licha",17298
"328","Dasyatis akajei",525478
"329","Dasyatis americana",18459
"330","Dasyatis centroura",2
"331","Dasyatis longa",222
"332","Dasyatis pastinaca",160
"333","Deania calcea",3637
"334","Deania profundorum",130
"335","Decapterus macrosoma",272613
"336","Decapterus maruadsi",3409472
"337","Decapterus russelli",5437295
"338","Dentex angolensis",67096
"339","Dentex congoensis",9857
"340","Dentex dentex",231487.284
"341","Dentex gibbosus",236
"342","Dentex macrophthalmus",791278
"343","Dentex tumifrons",7
"344","Diagramma pictum",643
"345","Diapterus auratus",30199
"346","Diastobranchus capensis",117
"347","Dicentrarchus labrax",2518624.424
"348","Dicentrarchus punctatus",33478.535
"349","Dicologlossa cuneata",68322
"350","Diplodus annularis",19409
"351","Diplodus puntazzo",4792.6
"352","Diplodus vulgaris",9685.898
"353","Dipturus innominatus",10299
"354","Dissostichus eleginoides",861876
"355","Dissostichus mawsoni",56010
"356","Doederleinia berycoides",30771
"357","Doraops zuloagai",2395
"358","Dormitator latifrons",10604.9
"359","Dormitator maculatus",2350
"360","Dorosoma cepedianum",59384
"361","Dorosoma petenense",18
"362","Drepane africana",151063
"363","Drepane punctata",68308
"364","Dussumieria acuta",1888905
"365","Dussumieria elopsoides",17040
"366","Echelus myrus",4
"367","Echeneis naucrates",20
"368","Echinorhinus brucus",11
"369","Elagatis bipinnulata",633536
"370","Electrona carlsbergi",153976
"371","Eleginops maclovinus",81931
"372","Eleginus gracilis",1727506
"373","Eleutheronema tetradactylum",395022.84
"374","Elops lacerta",55318
"375","Elops saurus",36779
"376","Enchelyopus cimbrius",8
"377","Encrasicholina punctifer",42258
"378","Engraulicypris sardella",590473
"379","Engraulis anchoita",1250315
"380","Engraulis capensis",16477872
"381","Engraulis encrasicolus",30577024
"382","Engraulis japonicus",50573976
"383","Engraulis mordax",4795297
"384","Engraulis ringens",341034695
"385","Eopsetta jordani",38581
"386","Epigonus telescopus",61974
"387","Epinephelus adscensionis",19
"388","Epinephelus aeneus",93403
"389","Epinephelus akaara",2446
"390","Epinephelus analogus",2081
"391","Epinephelus areolatus",11460
"392","Epinephelus bleekeri",21386
"393","Epinephelus caninus",74
"394","Epinephelus chlorostigma",698
"395","Epinephelus coioides",128064.105
"396","Epinephelus drummondhayi",128
"397","Epinephelus fuscoguttatus",1474.6293
"398","Epinephelus goreensis",3775
"399","Epinephelus guttatus",8043
"400","Epinephelus lanceolatus",67.42
"401","Epinephelus malabaricus",842.09
"402","Epinephelus marginatus",167300
"403","Epinephelus merra",73481
"404","Epinephelus morio",279226
"405","Epinephelus morrhua",419
"406","Epinephelus multinotatus",8919
"407","Epinephelus polylepis",5794
